"","Date","Name","QC_Flag","QA_Flag","Reservoir_Capacity_ac_ft","Reservoir_Storage_Volume_Previous_Year_ac_ft","Reservoir_Storage_Volume_ac_ft","Median_Reservoir_Storage_Volume_1981_2010_ac_ft","Source"
"171","2022-11-01","Sand Hollow Reservoir",NA,"",50000,35726,29847,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"172","2022-11-01","Scofield Reservoir",NA,"U",65800,13334,9842,20200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"173","2022-11-01","Settlement Canyon Reservoir",NA,"",1000,226,211,400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"174","2022-11-01","Yuba Reservoir",NA,"",236000,25002,6578,72100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"175","2022-11-01","Smith And Morehouse Reservoir",NA,"U",8100,5989,4018,4200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"176","2022-11-01","Starvation Reservoir",NA,"U",164118,105273,105040,127700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"177","2022-11-01","Stateline Reservoir",NA,"U",12000,4201,4825,5200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"178","2022-11-01","Steinaker Reservoir",NA,"U",33400,4255,9930,12000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"179","2022-11-01","Strawberry Reservoir",NA,"U",1105900,809186,798333,843700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"180","2022-11-01","Upper Enterprise Reservoir",NA,"",10000,616,514,950,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"181","2022-11-01","Utah Lake",NA,"U",870900,441975,326415,598800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"182","2022-11-01","Willard Bay",NA,"U",215000,80700,69241,134300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"183","2022-11-01","Woodruff Creek",NA,"",4000,1440,1727,1050,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"184","2022-11-01","Woodruff Narrows Reservoir",NA,"",57300,10578,10942,27600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"185","2022-12-01","Bear Lake",NA,"",1302000,526988,359143,445800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"186","2022-12-01","Big Sand Wash Reservoir",NA,"",25700,8190,11994,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"187","2022-12-01","Causey Reservoir",NA,"U",7100,3735,3148,3200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"188","2022-12-01","Cleveland Lake",NA,"",5400,378,3201,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"189","2022-12-01","Currant Creek Reservoir",NA,"U",15500,15012,14625,14800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"190","2022-12-01","Deer Creek Reservoir",NA,"U",149700,99255,66717,104900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"191","2022-12-01","East Canyon Reservoir",NA,"U",49500,24154,26759,32700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"192","2022-12-01","Echo Reservoir",NA,"U",73900,16454,42492,32200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"193","2022-12-01","Flaming Gorge Reservoir",NA,"U",3749000,2912710,2590065,3159000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
